Тип слитка,"Масса тела слитка, кг","Масса головной части, кг","Суммарная масса, кг",№ чертежа,"Время наполнения, ? (сек)",,,
,,,,,Тело слитка,,Головная часть,
,,,,,min,max,min,max
МР1,990,65,1055,133480,300,330,150,180
"МР1,5",1390,80,1470,134488,300,330,150,180
МР2,2040,150,2190,134479,300,330,150,180
"МР3,5",3100,360,3460,134768,300,330,150,180
"МР2,7",2400,220,2620,134634.001,480,510,150,180
ВК4,3684,260,3944,134574,360,390,150,180
"Р4,5",3880,510,4390,134501,390,420,150,180
"МР7,5",6600,750,7350,134771,нет данн,нет данн,нет данн,нет данн
"КС1,2",1075,140,1215,134609.3А,300,330,120,150
КН295С,2560,340,2900,134735.01А,360,420,180,210
КС45,3400,350,3750,134633А,360,420,180,210
"КС5,3",4450,500,4950,134708А,360,420,180,210
"КС7 (КС7,6)",6100,650,6750,134779А,420,480,210,240
К75,6600,800,7400,134682,420,480,210,240
КС90,8000,950,8950,134638,480,540,240,270
КС65,5375,1100,6475,134781,420,480,210,240
КС11,10050,950,11000,134762.00,нет данн,нет данн,нет данн,нет данн
"Р0,4",395,55,450,134798.01,нет данн,нет данн,нет данн,нет данн
